15-dic-2025;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;3.022,00;;;;;;;;;;
Shares Outstanding;709.449.982,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
2269;WUXI BIOLOGICS CAYMAN INC;Salute;Azionario;42.577.731,88;0,13;42.577.731,88;10.213.865,00;4,17;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
MAYBANK;MALAYAN BANKING;Finanziari;Azionario;42.249.560,90;0,13;42.249.560,90;16.689.800,00;2,53;Malesia;Bursa Malaysia;MYR
028260;SAMSUNG C&T CORP;Industriali;Azionario;42.094.204,73;0,13;42.094.204,73;251.193,00;167,58;Corea;Korea Exchange (Stock Market);KRW
EMIRATESNBD;EMIRATES NBD;Finanziari;Azionario;41.856.705,20;0,13;41.856.705,20;5.480.617,00;7,64;Emirati Arabi Uniti;Dubai Financial Market;AED
PKN;ORLEN SA;Energia;Azionario;40.730.378,78;0,12;40.730.378,78;1.541.092,00;26,43;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
TATASTEEL;TATA STEEL LTD;Materiali;Azionario;40.318.232,87;0,12;40.318.232,87;21.161.708,00;1,91;India;National Stock Exchange Of India;INR
2383;ELITE MATERIAL LTD;IT;Azionario;40.062.193,76;0,12;40.062.193,76;782.985,00;51,17;Taiwan;Taiwan Stock Exchange;TWD
300750;CONTEMPORARY AMPEREX TECHNOLOGY LT;Industriali;Azionario;39.817.523,25;0,12;39.817.523,25;727.163,00;54,76;Cina;Shenzhen Stock Exchange;CNY
373220;LG ENERGY SOLUTION LTD;Industriali;Azionario;39.571.468,88;0,12;39.571.468,88;131.544,00;300,82;Corea;Korea Exchange (Stock Market);KRW
329180;HD HYUNDAI HEAVY INDUSTRIES LTD;Industriali;Azionario;39.377.789,14;0,12;39.377.789,14;105.124,00;374,58;Corea;Korea Exchange (Stock Market);KRW
